MARKETID,Norm_MPI_0.02,Norm_MPI_0.03,Norm_MPI_0.05
1,0.025961161298809425,0.00548965723134638,0.000245463110346067
2,0.014264218381502429,0.0025724245180434634,8.36622836401433e-05
3,0.02034577098388017,0.004389060829017861,0.00020425134680407422
5,0.01675748205194129,0.0023632236859066763,4.699969733785414e-05
6,0.018194118298481318,0.0038197829549932194,0.00016836517829947796
7,0.013417858392172124,0.0025725378573959934,9.456197260284439e-05
10,0.007768541812767448,0.0015151945323708096,5.7639739914530716e-05
11,0.03957975352410566,0.034815867550804055,0.0274588213807946
12,0.02821277902302433,0.005576213847107324,0.00021783386962466483
13,0.022489697321641897,0.004552138189223491,0.0001864995022091735
14,0.4637956708773764,0.4419045073271425,0.40117316517035245
15,0.023912161524202866,0.004754852367377953,0.0001880061742037779
16,2.2112340378348664e-06,5.418716439244459e-09,3.187684955454828e-14
17,0.01988596176609877,0.004138826016564947,0.00017928200765181146
18,0.016640610121269387,0.010025307052989492,0.003891918292081441
19,0.04112150312081537,0.010423932318028552,0.0006698167857493721
20,1.0,1.0,1.0
24,0.02138002045180855,0.004590967778307634,0.00021168740129335855
26,0.042635773001428186,0.027317774929236035,0.011300662404351125
27,0.05030662218052369,0.01972947470134738,0.003034559347991449
28,0.0011658843047582651,0.00011582009679947157,1.1429128567801778e-06
29,0.00035411470743435046,2.373920652873888e-05,1.0666444982345443e-07
30,0.00036557011568234436,9.487663969383078e-06,6.389258341512625e-09
31,0.01974668955799507,0.004200562971644149,0.0001900781892747485
32,0.024887517041758143,0.005548029763282257,0.0002757096267672193
34,0.019900469759932822,0.00676215760238952,0.0007807780633359037
35,0.006321876627790138,0.0011189933302327337,3.505785573616583e-05
37,0.0017392249898911902,0.00010141028714692148,3.4475934566705415e-07
38,0.0038268926013079406,0.0005691696004512315,1.2589952265915416e-05
39,0.005329459989562454,0.0006145525012934102,8.171551236321017e-06
40,7.791604970661804e-05,1.1665750373187986e-06,2.6127140404421195e-10
41,5.663464559781301e-05,6.532691261424368e-07,8.681274753000907e-11
43,5.9916535853215526e-05,6.990732760578559e-07,9.505492055071573e-11
47,0.01731476250939272,0.003409425037432666,0.00013219301669564195
48,0.01999373023125505,0.004221533469855902,0.00018820079739677732
49,9.437732211480329e-06,8.138437099236104e-08,6.00924503152259e-12
50,1.422200544823967e-06,3.1407216493255587e-09,1.6859872846213464e-14
51,0.02021347163948475,0.004132146960360658,0.00017268073168912352
52,0.023628165067408894,0.004622193941670945,0.0001768818024618147
53,0.022101878551626576,0.009415956366026167,0.0017089662736947714
54,0.021682951516307128,0.006236584882941469,0.0005159436184981093
55,7.404561189563568e-05,1.0922453862622016e-06,2.374376718142203e-10
56,0.08500955741433361,0.048282226483979014,0.015574926475994594
57,0.00016050944848768433,4.6338954333695466e-06,3.860474340178533e-09
58,4.979848054480215e-06,2.2833180831324183e-08,4.743606383261139e-13
59,0.00015541590937192138,6.483414600453213e-06,1.127755591489231e-08
61,0.01570371458128964,0.0038838499100882734,0.0002375639223506182
62,3.5430887849618347e-06,1.4555864811104779e-08,2.4173252598129754e-13
63,0.04634241266597631,0.02127423159246095,0.004483360861658383
65,1.8066197647676754e-06,4.173578265800701e-08,2.1411117453080984e-11
66,0.0003051366621523228,8.27282616347314e-06,6.079524716104664e-09
67,0.008155648274492583,0.0029955634923965195,0.0004041240020830733
68,8.03911571846428e-05,3.6994192986933892e-06,7.82683289811461e-09
69,4.051712699119967e-06,1.1605204515269644e-08,9.404577260330202e-14
70,3.5240682751279295e-05,4.1879561631478635e-07,5.902911122621832e-11
72,0.03498337706708446,0.0071507180104657085,0.00029876147564888625
73,0.0320941729789821,0.006468172879595728,0.0002627190094094762
74,0.032377544679835384,0.006515035069655179,0.00026379191354479237
75,0.03147706784136692,0.006391677711606337,0.000263545171461303
76,0.024594206736586757,0.004876652752756075,0.00019173375056231104
77,9.362117662624369e-06,1.0045788020868045e-07,1.1482442362844977e-11
78,7.021182708552247e-06,8.163310768287828e-08,1.0927548314766248e-11
79,0.003724893222403234,0.0009138690662086137,5.500669652689049e-05
81,0.018934074965906166,0.003724238177372076,0.00014408622819752652
82,0.005203710740187512,0.0008245510219832503,2.0702371385102904e-05
83,1.33721520248474e-05,1.0954720292740489e-07,7.315585756398124e-12
85,0.023787578100379278,0.005331071159429222,0.0002677575022984065
86,0.02456018288590213,0.00531440651683109,0.00024882833312999346
87,0.03362829971779717,0.006916753887144859,0.00029261475018616055
88,0.0004000089250575853,3.749491065656902e-05,3.2937963153010915e-07
91,1.4302032533967732e-05,2.842754083034853e-07,1.1175083937373887e-10
92,0.061679564959528234,0.033694506930037525,0.010055281103316506
96,0.15756066879138433,0.17507849597021843,0.21617358030250017
100,0.2827941556219669,0.36128590378627073,0.5896741759326629
101,0.15092214828534425,0.16415474143470105,0.1942022035233478
102,0.27733873131875825,0.3542378632523497,0.5779147838200096
103,0.19884974931484634,0.2697356052371961,0.49632323253549465
104,0.1737098339107114,0.25204154909927945,0.5357558988379753
105,0.1299393272408048,0.12008615151724343,0.10256456307088402
106,0.009929156440544757,0.0029639099738905912,0.00026409918915274496
107,0.009729812797897648,0.003327684426017279,0.00038923699833051813
108,0.20922294371565908,0.28180845586882036,0.5112617719895586
109,0.043310874820364276,0.0314196839408307,0.016535251420961596
110,0.010594519653463736,0.0035895166916016033,0.000412042814065456
111,0.013123095839399431,0.004654225458644262,0.0005854195193483527
112,0.020093327023976964,0.006664066579920163,0.0007330147049451549
113,0.009015125650601885,0.0029220979389096595,0.0003069991348327338
115,0.15239365415518524,0.18911388087254138,0.2912301095760234
118,0.02575446828476195,0.015374034868788767,0.007011117348289286
120,0.022297011731654433,0.012274587558502614,0.0037198546326603315
123,0.12421746628993266,0.13235622082432025,0.15026834776327375
125,0.00021689093474187973,2.305626554085324e-05,2.604562279179153e-07
126,0.0016321206032754638,0.00037706829160942475,2.0124987834968768e-05
138,1.2922596968001588e-05,1.454454860339294e-07,1.8327060984308e-11
148,1.863405646723913e-05,2.713517185123905e-07,5.732538483162688e-11
149,9.045551105900221e-06,6.893956639987162e-08,3.975468599172441e-12
150,0.026706976458033178,0.028175379005512376,0.0366890636904959
155,3.972098119928119e-06,2.2313035723890825e-08,6.932040395263189e-13
158,0.11815685519980798,0.15091883981176563,0.24621373867692262
161,0.009647980930590045,0.0043410265870133845,0.0011229071931189545
